EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-154889,CCC1OCCCC1C,0.9711858028295360,8.293484396,-7.65211217,2.3348
ep-155025,CC(C)C1CCCCO1,0.9018978512625700,8.258381716,-7.618642172,7.5081
ep-155105,CCCC1OCCC1C,0.8622800141636480,8.059738642,-7.537008032,6.5873
ep-155111,CC1COC(C(C)C)C1,0.8553675310487810,7.960961333,-7.577552989,5.7728
ep-156502,CCC1CC(C)(C)CO1,0.8624667605124840,7.901640524,-7.535103236,5.6993
ep-156507,CCC1CC(C)CCO1,0.9224117644113990,8.286137324,-7.636601683,5.7866
ep-156603,CCCC1CCC(C)O1,0.7918774164517430,8.172121642,-7.520136977,3.3218
ep-156605,CCC1CCCC(C)O1,0.9313646039295430,8.422194224,-7.622179652,2.3149
ep-156610,CCCC1CCCCO1,0.8793487620340460,8.304368948,-7.577008761,8.0832
ep-156704,CCCC1CC(C)CO1,0.8158976406294420,8.133753596,-7.633064204,4.4128
ep-156785,CCCCC1CCCO1,0.7750877680662130,8.025452303,-7.528300391,7.1013
ep-156788,CCC1CCC(C)CO1,0.9614126008898660,8.269266268,-7.645853552,2.2963
ep-157167,CCC1CC(OC)CO1,0.6134002403567470,8.079875063,-7.713609889,7.574
ep-157683,CCC1(C)CCCCO1,0.8879775448350860,7.996336127,-7.549797381,5.2876
ep-157705,CCC1OCCOC1C,1.203168954732290,7.929396132,-7.985179461,1.0627
ep-157757,CCC1CCC(CC)O1,0.9216891601022700,8.403962599,-7.609390303,2.2597
ep-15800,CCCOC(=O)OC,1.1203092340609800,-0.161363483,-7.407753977,1.2545
ep-15825,CCOC(=O)OCC,1.1108202055324000,-0.159458687,-7.37646089,1.2021
ep-15881,CCCOCOCC,0.5906394354504510,7.977288161,-7.990621737,2.22
ep-159,CCCOC,0.9985557013626790,8.430629752,-7.780821997,4.2528
ep-165837,CC1(C)COCC1(C)C,0.8953683487190460,8.163141886,-7.577280875,4.9638
ep-165840,CC(C)C1(C)CCOC1,0.9354521766912100,8.05456848,-7.59986632,3.1102
ep-165843,CC1CCOCC1(C)C,0.9380493796173340,8.393622275,-7.677962981,5.5811
ep-165847,CC1COC(C)C1(C)C,0.8730005205102730,8.172393755,-7.547348357,4.8962
ep-165907,CCC1(C)COCC1C,0.8771490816301370,8.127767092,-7.567484778,6.5408
ep-165973,CC1OCC(C)(C)C1C,0.8585616973714650,7.982186209,-7.517687953,6.294
ep-165974,CCC1COCC1(C)C,0.9073469683933900,8.14980831,-7.601499003,4.7233
ep-166273,COC1(C)COCC1C,0.6289419732048640,7.964226698,-7.60558071,8.0053
ep-166615,CC(C)C1COCC1C,0.9079899661197370,8.104637419,-7.578097216,4.0397
ep-166620,CCC1COCCC1C,0.9346757732352940,8.386547316,-7.65211217,5.236
ep-166622,CC(C)C1CCCOC1,0.8979465889762260,8.322600573,-7.644765097,7.6007
ep-166627,CCC1C(C)COC1C,0.8653694265359230,8.021098483,-7.517415839,6.2871
ep-166628,CC(C)C1CCOC1C,0.9106972839946140,8.237973181,-7.574015509,2.971
ep-166693,CC(C)(C)C1CCOC1,0.9538967606245420,8.22001367,-7.667078429,3.2989
ep-166767,CCC1COC(C)C1C,0.8625316585141030,8.146542944,-7.523402342,5.779
ep-166768,CCC1COCC1CC,0.8908209745217340,8.137291075,-7.581362582,5.6019
ep-166769,CCC(C)C1CCOC1,0.9329819003412850,8.096746119,-7.582723151,3.1651
ep-166880,CCCC1COCC1C,0.937456143616541,8.257565375,-7.682316802,3.7519
ep-166881,CC1CC(C(C)C)CO1,0.9212512292170550,8.167767821,-7.648302577,4.1842
ep-170009,CCC1CCCOC1C,0.8845001842951170,8.094569209,-7.570205916,7.1487
ep-170024,CCC1CCOC1OC,1.0858067920595200,7.950076781,-7.883136786,2.3052
ep-170060,CCC1(C)CCCOC1,0.9274889871652550,8.399064551,-7.668983225,5.2761
ep-170064,CCC1(CC)CCOC1,0.8903004701276710,8.038241652,-7.579729899,5.0771
ep-170099,COCC1CCOC1C,0.8822096820194580,8.010486044,-7.593335589,7.1797
ep-170109,CCC1COCC(C)C1,0.9177924090940860,8.296205534,-7.585444289,5.1442
ep-170110,CCCC1CCCOC1,0.9454313714192340,8.396343413,-7.668166884,4.5743
ep-170184,CCC1CCC(C)OC1,0.9232715018661920,8.325593825,-7.659731356,4.3271
ep-170257,CCC1(C)CCOC1C,0.9142095006309590,8.308450655,-7.590614451,3.1216
ep-170286,CCCC1CCOC1C,0.8883400728626070,8.030622466,-7.525579253,4.4311
ep-170800,CCC1(C)COC(C)C1,0.8697720433213240,7.973750681,-7.527211936,5.1182
ep-170801,CCCC1(C)CCOC1,0.9029943278157240,7.991710192,-7.601226889,4.9198
ep-171179,CCC1COCC1OC,0.9259025800286020,7.909531825,-7.732113627,7.482
ep-171190,CC(C)CC1CCOC1,0.890279231848361,8.0115745,-7.586532744,6.2207
ep-17122,COCCCCOC,0.9560566540087150,8.380560812,-7.7552433,4.0392
ep-171252,CCCC1COC(C)C1,0.8646519782712390,8.019193686,-7.529388846,6.2528
ep-171295,CCCCC1CCOC1,0.8942990793046360,8.0352484,-7.580002013,5.5939
ep-171601,COCC1(C)CCOC1,0.9004117944911790,8.010758158,-7.627349814,5.1411
ep-1721,O=C1CCOC1,1.1944874245077100,0.257419655,-7.641227618,1.6088
ep-1739,C1CCOCC1,0.8957751135091660,8.180012942,-7.592791361,8.3513
ep-17681,COCOC(=O)OC,1.1152997741108000,-0.331434608,-7.588165427,3.7833
ep-185953,CCOC1COC(C)C1,0.5579214617039640,8.046132952,-7.621907538,2.9564
ep-186580,COC1COCC1OC,0.6307021816747730,7.959600764,-7.703813792,5.4731
ep-187125,CCC1OCCC(C)O1,0.950073902041651,7.923409628,-7.916878897,7.4428
ep-1879,C1COCCO1,1.4062710801584500,7.991982306,-8.086950022,1.0691
ep-196130,COC1CCC(C)OC1,0.9584289122606400,8.098923029,-7.799597849,6.6728
ep-205009,CC1(C)CCOC1(C)C,0.8493790883331990,8.061643439,-7.504898604,5.4637
ep-205019,CC1OCCCC1(C)C,0.9416782681479620,8.181373511,-7.59415193,2.8656
ep-205542,CC1COCC(C)(C)C1,0.9439806731892130,8.294572852,-7.668983225,4.2291
ep-205622,CC1CCCOC1(C)C,0.8497139713772750,8.027901328,-7.540817626,7.2239
ep-205635,CC1CCOC(C)C1C,0.9511417234753420,8.271443179,-7.642588187,2.5489
ep-205675,CC1OC(C)C(C)C1C,0.8374601736481390,8.228177084,-7.505987059,7.8872
ep-205680,CC1CCC(C)C(C)O1,0.9291349754872690,8.440425848,-7.642316073,2.2033
ep-205736,CC1COC(C)C(C)C1,0.9560124195920580,8.243415457,-7.617553717,2.77
ep-205786,COC1COCCC1C,1.0983535669879500,8.227360743,-7.86191191,2.324
ep-206970,CCC1COC(C)OC1,0.9725882002310330,8.004227427,-7.95932865,7.0397
ep-207074,COC1CCC(C)CO1,0.6407648710591360,8.125590182,-7.84476874,5.9761
ep-207164,COC1CC(C)C(C)O1,0.9700981243719640,7.938375887,-7.772930697,4.9564
ep-208,COC(C)=O,0.9739182580189870,0.21551413,-7.373739752,5.8568
ep-2121,CCC(C)(C)OC,0.9391349365990760,7.959600764,-7.585988516,3.3757
ep-2162,CCOC(C)(C)C,0.8969808490189460,7.980009299,-7.53755226,4.381
ep-2234,COC(C)C(C)C,0.9509863530826180,8.253483668,-7.679051436,3.8297
ep-2273,CC(C)C(=O)C=O,0.9743227827365570,-0.445722404,-8.107902785,1.5491
ep-244241,CC1CCCC(C)(C)O1,0.8395786201775370,8.113617175,-7.536463805,6.7107
ep-244247,CC1CCOC(C)(C)C1,0.8759442357879750,7.977288161,-7.567212664,5.3569
ep-244264,CC1CCC(C)(C)OC1,0.8688625808319670,7.985723689,-7.574559737,6.1214
ep-246924,CCOC1COCCO1,1.1006356767403400,7.948716212,-7.977560275,3.0162
ep-251757,CCC1OC(C)C(C)O1,1.0654013421737800,7.926947108,-7.888851176,2.4076
ep-253546,CCOC1CCCOC1,0.490876714492289,8.190081152,-7.679595664,7.0678
ep-253620,COC1COCC(C)O1,1.04880894300645,7.914701987,-7.966675723,4.8061
ep-253710,CCC1COCC(C)O1,1.0730734560380200,7.960961333,-7.865993617,1.4728
ep-2567,COC(C)(C)OC,1.1475450585994300,8.058922301,-7.939192229,1.6696
ep-259260,CC1CC(C)OC(C)C1,0.8698221847226240,8.431173979,-7.62490079,7.059
ep-259270,CC1CC(C)C(C)CO1,0.8935993834799730,8.299198786,-7.63850648,5.6949
ep-259313,CCCOC1CCCO1,1.023736058603000,7.966947836,-7.871708006,3.5023
ep-259338,CC1COCC(C)C1C,0.9522246277672590,8.334845694,-7.666262087,3.7879
ep-259436,COC1(C)CCCCO1,1.106945736513310,8.033343604,-7.908987597,1.5098
ep-259547,COC1CCCC(C)O1,0.48664021688517000,8.024635962,-7.822999636,1.4073
ep-26544,CC1(C)OCCC1=O,1.069835196983370,0.459872322,-7.55115795,3.7048
ep-26572,CC1(C)CC(=O)CO1,1.022339920160530,0.404905334,-7.54898104,6.0862
ep-26617,CC1(C)OCOC1=O,1.0253075760592800,0.062858288,-7.575648192,7.0754
ep-2681,CCC(CC)OC,1.0700884043106800,8.157427496,-7.729392489,1.2875
ep-269273,CC(C)C1CCOCC1,0.9358460030773450,8.23933375,-7.576464533,3.9227
ep-27015,CC1(C)OCC(=O)O1,1.00365636791423,0.101770561,-7.525579253,7.9002
ep-271173,CCCC1CCOCC1,0.9107990383747780,8.245864481,-7.650479487,7.6632
ep-2737,CCCC(C)OC,0.9954407137318440,8.223279036,-7.686398509,2.864
ep-2743,CCOC(C)CC,0.9840190975248750,8.239877978,-7.643404528,1.2965
ep-280015,CC1CC(C)(C)CCO1,0.9081011485845990,8.27797391,-7.642588187,5.5243
ep-280026,CC1COCCC1(C)C,0.967228049833087,8.384370406,-7.671160136,3.4521
ep-280038,CCC1(C)CCOCC1,0.9569311031529740,8.390901137,-7.669255339,4.1471
ep-280335,CCC1CCOC(C)C1,0.9221608708447280,8.362329188,-7.61700949,3.8133
ep-280341,CCC1CCOCC1C,0.9452611490026930,8.431446093,-7.696466719,5.4962
ep-28060,CC1CC(C)C(C)O1,0.89439662365707,8.152529448,-7.553062747,3.4943
ep-28062,CCC1CCC(C)O1,0.9264350724764110,8.363145529,-7.611022986,2.9145
ep-28067,CC1CCCC(C)O1,0.8909357568221410,8.200421477,-7.548164698,3.9835
ep-28079,CC1COCC(C)O1,1.1693647563908800,7.958240195,-7.874701258,1.4434
ep-28097,CC1CC(=O)C(C)O1,1.0613742197200500,0.488988499,-7.554967543,4.4973
ep-28170,CC1OC(=O)C(C)O1,1.0097850303205500,0.141227062,-7.550341609,7.8309
ep-28435,CC1OCCC1(C)C,0.8906660213235900,8.098650916,-7.545715674,4.3827
ep-28436,CC(C)C1CCCO1,0.8674765135188270,8.212666598,-7.65782656,3.957
ep-28440,CC1CCCOC1C,0.8916950636026200,8.008581248,-7.520409091,5.8624
ep-28457,CC1OCCOC1C,1.2524946590789800,7.963954585,-7.994703444,1.0914
ep-28493,CCC1OCCC1C,0.8670634905530290,8.127222865,-7.549525267,5.9071
ep-28495,CCC1CCCCO1,0.9099264333063320,8.081235632,-7.532382098,3.8801
ep-28513,CCOC1CCOC1,0.6264635601990660,7.949804667,-7.669799567,7.7964
ep-28543,CCC1OCCC1=O,1.0612316483663300,0.469668419,-7.560409819,4.7356
ep-28559,CC1COC(C)C1C,0.8940554388238030,7.995519785,-7.528572505,4.1113
ep-28564,CC1CCC(C)OC1,0.890648976567366,8.112256606,-7.556055998,5.8516
ep-28601,CC1OCC(=O)C1C,1.0416802171050800,0.459600208,-7.558505023,6.3311
ep-28602,CCC1CC(=O)CO1,1.0599498820721200,0.387490051,-7.563675185,5.5794
ep-28614,CCC1CCOC1C,0.8919273496139230,8.105453761,-7.546532015,3.8728
ep-28616,CCCC1CCCO1,0.875211603426824,7.946539301,-7.541906081,4.3163
ep-28620,CC1CCOC(C)C1,0.89347732484269,8.185183104,-7.6270777,7.4884
ep-28667,CC1CC(=O)CCO1,0.9844285243759690,0.496879799,-7.377549346,4.8395
ep-28803,COC1CCOC1C,0.9218232131815280,7.980281413,-7.709800295,5.0196
ep-28977,CC1COC(C)C1=O,1.0538147932248000,0.445994518,-7.55115795,4.4964
ep-29046,CC1CC(C)(C)CO1,0.8609299261087820,7.911980849,-7.548164698,7.4829
ep-29061,CCC1COC(C)C1,0.8631660872421410,7.992798647,-7.544355105,7.0967
ep-29095,COC1COC(C)C1,0.5970941301737090,8.026540759,-7.653472739,4.686
ep-2942,CC(C)OC(C)C,0.8941798601421600,8.445596011,-7.550341609,4.5526
ep-2947,CCCOC(C)C,0.92475511568669,8.295933421,-7.595512499,4.2501
ep-30716,COC1COCC1C,0.5952237189775110,8.025996531,-7.703541678,6.4653
ep-31074,COC1CCCOC1,1.059803452124770,8.231170336,-7.846401423,2.7074
ep-32626,COC1OCCC1C,1.0744625525570000,7.92422597,-7.885313696,2.5666
ep-32628,COC1CCCCO1,1.0326706270083600,7.953886374,-7.82544866,3.8288
ep-32943,COC1CC(C)CO1,1.0641385697901300,8.049670432,-7.885857924,2.7327
ep-3686,CCC(=O)CC=O,1.1856165816462900,-0.054694874,-7.711432978,1.6748
ep-371,C1CCOC1,1.160044585568600,8.039057993,-7.662724608,1.0116
ep-3721,O=CCC(=O)C=O,1.2215705080694000,-0.494158661,-8.176475462,1.7924
ep-3737,CC(=O)CCC=O,1.1431940438469600,0.123539665,-7.590886565,1.9106
ep-37630,CC1(C)CCCOC1,0.9624640510617940,8.353349432,-7.687759078,4.2059
ep-37645,CC1COCC1(C)C,0.8940359093548890,7.975655478,-7.593879817,5.6536
ep-37646,CC1COCC(C)C1,0.9174749066957270,8.308450655,-7.656465991,6.1379
ep-37669,CC1(C)COCC1=O,1.0361741280654100,0.465042484,-7.56258673,7.3219
ep-37676,CCC1(C)CCOC1,0.8831226847155460,7.98082564,-7.597145182,7.2314
ep-37677,CC1CCOCC1C,0.8996843916840860,8.220830012,-7.587893313,7.4609
ep-37679,CCC1CCCOC1,0.9090953931162200,8.306817973,-7.647758349,7.83
ep-37710,CC1COCCC1=O,0.9642739052814410,0.548581421,-7.366664794,5.6495
ep-37917,CCC1COCC1C,0.8801886085357480,8.045588725,-7.569661688,6.7136
ep-3797,CCOCC(C)=O,1.0273053181499800,0.471573215,-7.371834956,1.4049
ep-38035,CCC1COCC1=O,1.0429199633603300,0.443545494,-7.568573233,8.0022
ep-38065,CC(C)C1CCOC1,0.8895347113895490,8.061371325,-7.581634696,5.894
ep-38067,CC1(C)CCOCC1,0.9567657495276770,8.230898222,-7.585716403,3.1868
ep-38085,CCCC1CCOC1,0.8960043820476190,8.016744662,-7.590614451,5.88
ep-38087,CCC1CCOCC1,0.9187965308898010,8.238517409,-7.643404528,6.4819
ep-3941,CCCCOCC,1.0493242662548000,8.491039015,-7.781638339,1.3815
ep-399,C1COCO1,0.937751077736829,7.517960066,-8.214571394,1.9911
ep-4216,CCCOCCC,1.0021201003408800,8.501651453,-7.680684119,2.8045
ep-4226,CCCOCOC,0.6571549215652010,7.987628485,-8.061643439,1.8673
ep-431,COC(C)(C)C,0.9314864168099790,7.938375887,-7.600682662,3.7317
ep-4572,CCOC(C)OC,0.5432464958276040,8.064636691,-7.978920844,1.3933
ep-468861,CC(C)C(=O)C(C)C=O,0.46848154567229600,0.281093555,-7.615104693,3.5526
ep-468920,CCCC(=O)C(C)C=O,1.0596898426878900,0.09306292,-7.590614451,3.2226
ep-468921,CCC(=O)CC(C)C=O,0.48373779012674500,0.48409045,-7.389250239,5.9253
ep-469201,CC(C)C(C)C(=O)C=O,1.1900929788352200,-0.231840958,-8.022186938,4.0248
