EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-470426,COC(C(=O)F)C(F)F,1.1244990184926351,-0.63729052,-8.556890555,3.9104,"[1, 1, 0, 1, 0]",1,3.909863242868336,-0.2191505691998596,-0.201376425624289
ep-471896,CCOC(=O)C(F)(F)F,1.257584147467877,-0.741510105,-8.217564646,3.1068,"[1, 1, 0, 1, 0]",1,3.414572398051605,-0.14930664903764893,0.4554638511541527
ep-487249,O=C(OCCF)C(F)F,1.0293144738416218,-0.470212646,-8.054296366,12.2561,"[1, 1, 0, 1, 0]",1,3.3857451440469544,0.10978326190842973,-0.5225823070372005
ep-487258,O=C(CF)OCC(F)F,1.0055634071019353,-0.325992332,-7.895109793,9.4766,"[1, 1, 0, 1, 0]",1,2.928542476814742,0.15313983256064417,-0.3589420976755557
ep-488730,O=C1OCC(F)C1(F)F,1.278769148119508,-0.665318241,-8.147359286,2.276,"[1, 1, 0, 1, 1]",1,3.1576107596377305,0.1518739009826307,1.8258916713971034
ep-491076,O=C1OC(CF)OC1F,1.207787444815334,-0.483274109,-8.079875063,4.5141,"[1, 1, 1, 1, 1]",1,5.6576995723085615,0.5314551773141843,1.5814264905334627
ep-497626,O=C1OCOCC1(F)F,1.14330172521122,-0.507220123,-7.990349623,5.7362,"[1, 1, 0, 1, 1]",1,2.93022766128268,0.3036696139364378,1.3805870846981714
ep-497683,O=C1CC(F)(F)C(F)O1,1.2559126521581934,-0.449804111,-8.10327685,3.3832,"[1, 1, 1, 1, 1]",1,5.682670337950246,0.49784021193758426,1.749986974878172
ep-497688,O=C1OCC(F)(F)C1F,1.231063343815562,-0.539057438,-8.0194658,2.429,"[1, 1, 0, 1, 1]",1,2.8902802426985277,0.22485416181757925,1.7640715441512849
ep-497716,O=C1COC(C(F)F)O1,1.1734546741412646,-0.339053795,-7.920416377,4.7995,"[1, 1, 0, 1, 1]",1,2.7787240954838057,0.3228712882857719,1.543594872028894
ep-505101,O=C1OC(F)C(F)(F)O1,1.296441518783994,4.989206523,-8.415663493,11.6719,"[1, 1, 1, 1, 1]",1,6.40925181271336,0.9017652324918464,0.7869170402714888
ep-716638,FC(F)(F)COCC(F)(F)F,0.61284588179709,5.497787215,-8.915808657,58.0184,"[1, 0, 0, 1, 0]",1,6.439868553358264,-0.4552060859246445,-5.053211747621229
ep-937786,O=C1OCC(C(F)(F)F)O1,1.075425633216201,-0.560282314,-7.745175089,62.8461,"[1, 1, 0, 1, 1]",1,5.520937360674179,1.107287343235905,-1.321787208421298
ep-937787,O=C1OCC(F)(C(F)F)O1,1.1445224304609471,-0.696883442,-7.97293434,57.0445,"[1, 1, 1, 1, 1]",1,8.254589785310692,1.2138151355625348,-0.975536697884886
ep-937788,O=C1OC(F)C(C(F)F)O1,1.1477815019057256,-0.746680267,-8.009941817,88.2053,"[1, 1, 1, 1, 1]",1,10.00497672182894,1.5757178655415691,-2.45525884217357
