EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-937789,O=C1OC(F)C(F)(CF)O1,1.1957645546309033,-0.645726047,-8.131032458,17.448,"[1, 1, 1, 1, 1]",1,6.441039346438447,0.6609908389938552,0.9169177117913011
ep-937791,CC1(F)OC(=O)OC1(F)F,1.2616951579831213,-0.201364212,-8.323144801,14.0296,"[1, 1, 1, 1, 1]",1,6.6298666602086955,0.564223814435978,1.0894269203510136
ep-937794,O=C1OC(F)C(F)(C(F)F)O1,1.291884586512055,0.637834747,-8.376751219,9.581,"[1, 1, 1, 1, 1]",1,6.466002297333671,0.5477526323744129,1.2736567355976876
ep-937796,O=C1OC(F)(F)C(F)(CF)O1,1.2899021553315158,0.764367664,-8.443963328,14.8361,"[1, 1, 1, 1, 1]",1,6.85694135778113,0.5975495831307229,0.9627003656484342
ep-937800,O=C1OC(F)(F)C(F)(C(F)(F)F)O1,1.5337772809431929,4.428107867,-8.738118346,2.5525,"[1, 1, 1, 1, 1]",1,6.74068251628177,0.5584264594862832,1.7022201808322057
ep-938709,COC(=O)OCC(F)(F)F,1.2978144552987234,-0.590486946,-7.838238009,3.5886,"[1, 1, 0, 1, 0]",1,2.8139419220369173,-0.0021652828266042097,0.7982100468816619
ep-938728,COC(=O)OC(F)(F)C(F)(F)F,1.4645564243511533,-0.746952381,-8.235524157,6.8631,"[1, 1, 1, 1, 0]",1,6.427875278804564,0.12275794379687625,0.8730815591216802
ep-938813,O=C(OCCC(F)F)OC(F)(F)F,1.15741543724438,-0.644909706,-8.301375697,5.7873,"[1, 1, 1, 0, 0]",1,3.9991052179954485,-0.03953484959696206,0.12333494465917336
ep-938863,O=C(OCC(F)(F)C(F)F)OC(F)(F)F,1.269808807113613,-0.638651089,-8.491855357,8.9127,"[1, 1, 1, 1, 0]",1,6.7857040203369605,0.11690008071436614,0.04294823430754549
ep-938894,COC(=O)OC(CF)C(F)F,0.9541710835294116,-0.300141521,-7.798781508,3.74,"[1, 1, 0, 1, 0]",1,2.400316017904432,0.13559387657488764,-0.16726780897979673
ep-938901,CC(C)OC(=O)OC(F)(F)F,1.168821179472887,-0.699060352,-8.162053431,9.1009,"[1, 1, 1, 0, 0]",1,3.950409581912536,0.04510303292780636,0.10152604465556075
ep-938902,COC(=O)OC(C)(F)C(F)(F)F,1.039531364034441,-0.323543308,-7.966675723,5.6299,"[1, 1, 1, 1, 0]",1,5.454591617258559,0.3625714382767646,-0.10543988605433344
ep-938904,CC(OC(=O)OCF)C(F)(F)F,1.3253345669258287,-0.609262798,-8.086133681,5.3282,"[1, 1, 1, 1, 0]",1,5.941804052773179,0.21018812765911848,0.6488782452761674
ep-938905,COC(=O)OC(F)(CF)C(F)F,1.084757216160278,-0.382319889,-8.043411814,8.8696,"[1, 1, 1, 1, 0]",1,5.809983775363131,0.35605947722437564,-0.1802346187170271
ep-938907,COC(=O)OC(C(F)F)C(F)F,1.073975761549084,-0.637834747,-7.961777674,3.0356,"[1, 1, 0, 1, 0]",1,2.7812707118587894,0.0055002354235138395,0.11570885711897017
ep-938908,O=C(OCF)OC(CF)C(F)F,1.054495775443714,-0.674842224,-8.121508475,22.0827,"[1, 1, 1, 1, 0]",1,6.644405559172909,0.4739310526978328,-0.9166078506077868
ep-938913,CC(CF)OC(=O)OC(F)(F)F,1.1330322301953664,-0.73470726,-8.308178542,11.2225,"[1, 1, 1, 1, 0]",1,6.462867747304459,0.24481644259690777,-0.3113292461994764
ep-938915,COC(=O)OC(F)(CF)C(F)(F)F,1.3532686688184137,-0.271841686,-8.137835303,8.0898,"[1, 1, 1, 1, 0]",1,6.1890546243476,0.2434200759303344,0.5317512243615767
ep-938917,COC(=O)OC(C(F)F)C(F)(F)F,1.2557278337516695,-0.687631573,-8.023819621,3.294,"[1, 1, 0, 1, 0]",1,3.0839208684327506,-0.07030318387067742,0.5726370161715613
ep-938919,CC(OC(=O)OC(F)F)C(F)(F)F,1.253463480187119,-0.589942718,-8.361240733,8.4465,"[1, 1, 1, 1, 0]",1,6.515348256288208,0.1682240652700578,0.10655708881639446
ep-938920,COC(=O)OC(F)(C(F)F)C(F)F,1.1834978079975214,-0.615249302,-8.221102126,23.4802,"[1, 1, 1, 1, 0]",1,7.015748670504812,0.42183909369400835,-0.6965571604771431
ep-938923,O=C(OCF)OC(C(F)F)C(F)F,1.1159198879451862,-0.719741001,-8.233891474,7.9177,"[1, 1, 1, 1, 0]",1,6.138234244788366,0.2381170820835037,-0.15279786989113045
ep-938925,CC(OC(=O)OC(F)(F)F)C(F)F,1.3553603841428954,-0.730081325,-8.491039015,5.9568,"[1, 1, 1, 1, 0]",1,6.713937004524299,0.04940421124700881,0.42981138127750285
ep-938930,O=C(OCF)OC(F)(CF)C(F)(F)F,0.9632278920352114,-0.380415092,-8.209401232,21.0187,"[1, 1, 1, 1, 0]",1,6.63351894336373,0.4777071202437493,-1.208658148864825
ep-938942,COC(=O)OC(F)(C(F)(F)F)C(F)(F)F,1.1854611093505711,-0.244086079,-8.194434973,5.5421,"[1, 1, 1, 1, 0]",1,5.983581784437166,0.2414924520922819,0.14034164981542024
ep-940103,O=C(OCCF)OCC(F)F,0.9298007131431886,-0.338237453,-7.727759806,8.1885,"[1, 1, 0, 1, 0]",1,2.495239981282992,0.22023827072656774,-0.39182203870208765
ep-940111,O=C(OCCF)OCC(F)(F)F,1.1008541216776813,-0.623412716,-7.923681742,7.3629,"[1, 1, 0, 1, 0]",1,2.9741329587767864,0.06593717906243918,0.012597992939139047
ep-940114,O=C(OCCF)OC(F)C(F)F,1.157674648902424,-0.730353439,-8.148719855,26.1417,"[1, 1, 1, 1, 0]",1,7.014801640700296,0.4794906248872815,-0.8334670827066877
ep-940116,O=C(OCC(F)F)OC(F)CF,0.9911610610910888,-0.693073849,-8.063276122,17.4994,"[1, 1, 1, 1, 0]",1,6.2351472394386755,0.4562545878476198,-0.8355518778453968
ep-940117,O=C(OCC(F)F)OCC(F)F,0.9678075557888554,-0.592663856,-7.888306948,10.6671,"[1, 1, 0, 1, 0]",1,2.9586826329797358,0.15990638825449707,-0.49291312176567914
ep-940128,O=C(OCC(F)F)OCC(F)(F)F,1.1434793548438018,-0.713482384,-8.0273571,7.2997,"[1, 1, 0, 1, 0]",1,3.1973195102352268,0.007360265862257044,0.06984835588732613
ep-974370,FC(F)COCCOCC(F)(F)F,-0.0674,5.478739249,-8.191441721,58.7329,"[1, 0, 0, 1, 0]",1,4.5558513200701825,0.0154944676991606,-6.479911509315349
ep-98364,FC(F)C(F)(F)OCCOC(F)(F)C(F)F,0.463850996870783,5.574131818,-9.578391855,8.272997769,"[1, 1, 1, 1, 0]",1,7.499433708524378,0.42774588456901796,-3.4762145898598016
