EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-1361,CC1CCOC1,0.8810797179049696,7.954702715,-7.602315344,8.3931,"[1, 0, 0, 0, 1]",3,-0.6714043948482349,-0.39128523534189147,0.08607902646905768
ep-1529,CC1CCCO1,1.0546870716345258,8.052119456,-7.590614451,1.4146,"[1, 1, 0, 0, 1]",3,-0.7356312451835788,0.88111699274439,0.9947356126021728
ep-154751,CCC1OCCC1(C)C,0.8883978366672689,8.198788794,-7.548164698,4.6494,"[1, 1, 0, 0, 1]",3,-0.806148719632508,0.9955440262226855,0.3945246110976677
ep-154757,CC(C)(C)C1CCCO1,0.8499814327312869,7.920416377,-7.53972917,6.8121,"[1, 1, 0, 0, 1]",3,-0.7264153964525443,1.0140517780161982,0.21508069103979074
ep-154795,CC(C)C1OCCC1C,0.908878781,8.115521971,-7.555783885,3.4375,"[1, 1, 0, 0, 1]",3,-0.8335651208009269,0.9654713555938361,0.5106761827173536
ep-154880,CCC1OCC(C)C1C,0.8527218000806307,7.98436312,-7.520136977,5.1246,"[1, 1, 0, 0, 1]",3,-0.8522385746749825,1.0049933888029747,0.3104394052076248
ep-154884,CCC1CCOC1CC,0.9177685529397828,8.14980831,-7.607213393,4.052,"[1, 1, 0, 0, 1]",3,-0.704433946719732,0.9540524453085816,0.467610284588909
ep-154886,CCC(C)C1CCCO1,0.8703967777479622,7.937287432,-7.547348357,4.4041,"[1, 1, 0, 0, 1]",3,-0.8239487076779813,0.9773137059703355,0.37876458198943425
ep-154889,CCC1OCCCC1C,0.971185802829536,8.293484396,-7.65211217,2.3348,"[1, 1, 0, 0, 1]",3,-0.674725153441601,0.9125021406684292,0.6540417645977442
ep-155025,CC(C)C1CCCCO1,0.9018978512625698,8.258381716,-7.618642172,7.5081,"[1, 1, 0, 0, 1]",3,-0.519857607930692,1.0051416790673944,0.24316089413434902
ep-155105,CCCC1OCCC1C,0.8622800141636482,8.059738642,-7.537008032,6.5873,"[1, 1, 0, 0, 1]",3,-0.73891532101631,1.0198205572458139,0.25000093759724223
ep-155111,CC1COC(C(C)C)C1,0.8553675310487805,7.960961333,-7.577552989,5.7728,"[1, 1, 0, 0, 1]",3,-0.7138375288093594,0.9889860329553882,0.24908290624581927
ep-156502,CCC1CC(C)(C)CO1,0.8624667605124838,7.901640524,-7.535103236,5.6993,"[1, 1, 0, 0, 1]",3,-0.7811454788723488,0.9971238127659756,0.30724874964475124
ep-156507,CCC1CC(C)CCO1,0.9224117644113988,8.286137324,-7.636601683,5.7866,"[1, 1, 0, 0, 1]",3,-0.5629514610068206,0.9737808427664766,0.36661428224163745
ep-156603,CCCC1CCC(C)O1,0.7918774164517433,8.172121642,-7.520136977,3.3218,"[1, 1, 0, 0, 1]",3,-1.0195826202647968,1.015235808549765,0.20903136364575492
ep-156605,CCC1CCCC(C)O1,0.9313646039295432,8.422194224,-7.622179652,2.3149,"[1, 1, 0, 0, 1]",3,-0.7739219378061766,0.944943309531971,0.5535366495279243
ep-156610,CCCC1CCCCO1,0.8793487620340459,8.304368948,-7.577008761,8.0832,"[1, 1, 0, 0, 1]",3,-0.5857173771406554,1.037707824049474,0.17825299598195715
ep-156704,CCCC1CC(C)CO1,0.8158976406294416,8.133753596,-7.633064204,4.4128,"[1, 1, 0, 0, 1]",3,-0.7392457229236246,0.9767302550033389,0.1489787491150828
ep-156785,CCCCC1CCCO1,0.7750877680662132,8.025452303,-7.528300391,7.1013,"[1, 1, 0, 0, 1]",3,-0.8099692482238998,1.0515574396718386,-0.009002077903248244
ep-156788,CCC1CCC(C)CO1,0.9614126008898662,8.269266268,-7.645853552,2.2963,"[1, 1, 0, 0, 1]",3,-0.6959010462579415,0.9152350356720148,0.6349890101474038
ep-157167,CCC1CC(OC)CO1,0.6134002403567467,8.079875063,-7.713609889,7.574,"[1, 1, 0, 0, 1]",3,-0.6248788276246208,1.0390905673829536,-0.6180186009241994
ep-157683,CCC1(C)CCCCO1,0.8879775448350857,7.996336127,-7.549797381,5.2876,"[1, 1, 0, 0, 1]",3,-0.7580839536510166,0.9868357097531848,0.3795454095655303
ep-157705,CCC1OCCOC1C,1.203168954732286,7.929396132,-7.985179461,1.0627,"[1, 1, 0, 0, 1]",3,0.08206540248256697,0.6781652777284005,1.1605323681719286
ep-157757,CCC1CCC(CC)O1,0.9216891601022704,8.403962599,-7.609390303,2.2597,"[1, 1, 0, 0, 1]",3,-0.8075581835222152,0.9503423104530492,0.5396071418318544
ep-165837,CC1(C)COCC1(C)C,0.8953683487190458,8.163141886,-7.577280875,4.9638,"[1, 0, 0, 0, 1]",3,-0.8972688795932359,-0.41146553404479935,0.28714922859982994
ep-165840,CC(C)C1(C)CCOC1,0.9354521766912098,8.05456848,-7.59986632,3.1102,"[1, 0, 0, 0, 1]",3,-0.9126939025821835,-0.46253919718555575,0.480020973228606
ep-165843,CC1CCOCC1(C)C,0.9380493796173336,8.393622275,-7.677962981,5.5811,"[1, 0, 0, 0, 1]",3,-0.6603094533507539,-0.43527933098353067,0.2870795514053299
ep-165847,CC1COC(C)C1(C)C,0.8730005205102733,8.172393755,-7.547348357,4.8962,"[1, 1, 0, 0, 1]",3,-0.8079032102152528,1.0011769318320276,0.3426820351097707
ep-165907,CCC1(C)COCC1C,0.8771490816301368,8.127767092,-7.567484778,6.5408,"[1, 0, 0, 0, 1]",3,-0.845137422911115,-0.3861588334756599,0.17184916320837676
ep-165973,CC1OCC(C)(C)C1C,0.8585616973714647,7.982186209,-7.517687953,6.294,"[1, 1, 0, 0, 1]",3,-0.787576036650541,1.0183397628268183,0.27361552139025636
ep-165974,CCC1COCC1(C)C,0.90734696839339,8.14980831,-7.601499003,4.7233,"[1, 0, 0, 0, 1]",3,-0.8557492164017729,-0.42787398541841415,0.3161429697321424
ep-166273,COC1(C)COCC1C,0.6289419732048642,7.964226698,-7.60558071,8.0053,"[1, 1, 0, 0, 1]",3,-0.7672638006993063,1.070866935567175,-0.5092030506316654
ep-166615,CC(C)C1COCC1C,0.9079899661197368,8.104637419,-7.578097216,4.0397,"[1, 0, 0, 0, 1]",3,-0.9300493611541908,-0.43129142112995034,0.3704113962362836
ep-166620,CCC1COCCC1C,0.9346757732352942,8.386547316,-7.65211217,5.236,"[1, 0, 0, 0, 1]",3,-0.7266591460839978,-0.4294915096878142,0.31262123802455455
ep-166622,CC(C)C1CCCOC1,0.8979465889762258,8.322600573,-7.644765097,7.6007,"[1, 0, 0, 0, 1]",3,-0.6443879117293422,-0.39244093756549864,0.10920398649597055
ep-166627,CCC1C(C)COC1C,0.8653694265359226,8.021098483,-7.517415839,6.2871,"[1, 1, 0, 0, 1]",3,-0.7838975981812342,1.019487549057897,0.2898279528637405
ep-166628,CC(C)C1CCOC1C,0.9106972839946144,8.237973181,-7.574015509,2.971,"[1, 1, 0, 0, 1]",3,-0.8321175401778991,0.9621733773198086,0.5144291578487045
ep-166693,CC(C)(C)C1CCOC1,0.9538967606245417,8.22001367,-7.667078429,3.2989,"[1, 0, 0, 0, 1]",3,-0.7770572842521748,-0.4773739452155479,0.46139658492939606
ep-166767,CCC1COC(C)C1C,0.8625316585141027,8.146542944,-7.523402342,5.779,"[1, 1, 0, 0, 1]",3,-0.8106609330890538,1.0217960096898473,0.2908436119594137
ep-166768,CCC1COCC1CC,0.8908209745217335,8.137291075,-7.581362582,5.6019,"[1, 0, 0, 0, 1]",3,-0.8588125060992077,-0.40593308843995857,0.24374667508883396
ep-166769,CCC(C)C1CCOC1,0.9329819003412844,8.096746119,-7.582723151,3.1651,"[1, 0, 0, 0, 1]",3,-0.944222795374269,-0.4514615277668115,0.47892120599951626
ep-166880,CCCC1COCC1C,0.937456143616541,8.257565375,-7.682316802,3.7519,"[1, 0, 0, 0, 1]",3,-0.7444278274480864,-0.46982596825613077,0.38018115628359717
