EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents,binary_features,cluster,PC1,PC2,PC3
ep-101145,CCC(C)(C)C(C)OC,0.861103011343817,8.195523428,-7.642316073,2.7026,"[1, 1, 0, 0, 0]",0,-0.6674841421438034,0.6590726654502408,-0.8852592955277
ep-101151,CCOC(C)C(C)(C)C,0.8898930615883134,8.288586348,-7.562314616,3.765,"[1, 1, 0, 0, 0]",0,-0.725819600479366,0.7008720547755559,-0.8066802779339773
ep-101232,CC(C)OCC(C)(C)C,0.9692581464074072,8.426548045,-7.655105422,2.4192,"[1, 1, 0, 0, 0]",0,-0.5672607775793345,0.6382039132766939,-0.5982468291663787
ep-101237,CCCOCC(C)(C)C,0.9877737483340796,8.5558021,-7.677690867,2.6353,"[1, 0, 0, 0, 0]",0,-0.672823919493691,-0.7578388920555396,-0.67829209548019
ep-101261,CCC(C)C(C)(C)OC,0.8494919498796409,7.90272898,-7.52394657,3.0974,"[1, 1, 0, 0, 0]",0,-0.8465861900046088,0.6879949407891095,-0.8281993537667989
ep-101263,COC(C)C(C)C(C)C,0.967425033783646,8.15769961,-7.634152659,2.6734,"[1, 1, 0, 0, 0]",0,-0.5767656105553971,0.6283425788625638,-0.5775625739074303
ep-101268,CCOC(C)C(C)CC,0.9338382003892872,8.365594553,-7.618642172,3.0692,"[1, 1, 0, 0, 0]",0,-0.6268155623827768,0.6649869909498827,-0.6971156376412195
ep-101274,CCCC(C)C(C)OC,0.969092202632386,8.248857733,-7.670888022,2.217,"[1, 1, 0, 0, 0]",0,-0.5411019997423213,0.6158665064974832,-0.5849907729620413
ep-101420,CCOC(C)(C)C(C)C,0.9128522036910538,8.187904242,-7.553606974,2.4603,"[1, 1, 0, 0, 0]",0,-0.7831505545886057,0.673640674113541,-0.6662882695532268
ep-101422,CC(C)OC(C)C(C)C,0.8604639383953423,8.369404147,-7.543810877,2.8727,"[1, 1, 0, 0, 0]",0,-0.8393851929248719,0.7116562425042804,-0.8409432298551018
ep-101426,CCCOC(C)C(C)C,0.9171120855288052,8.345458132,-7.568845347,3.5306,"[1, 1, 0, 0, 0]",0,-0.7035769958702373,0.6922987374391358,-0.7289831032400409
ep-101473,COC(C)OCC(C)C,0.9788594457818712,8.203958956,-7.947083529,7.6487,"[1, 1, 0, 0, 0]",0,0.24275956075781752,0.573316214434986,-1.0031649016257953
ep-115822,CCCOC(C)(C)CC,0.8800819565270468,8.06599726,-7.525579253,5.9046,"[1, 1, 0, 0, 0]",0,-0.6714216774172661,0.7258343127947029,-0.8899906822498402
ep-115858,COC(C)(C)CC(C)C,0.8368604156397188,7.934022067,-7.555239657,3.983,"[1, 1, 0, 0, 0]",0,-0.7587070812276274,0.6932808480741732,-0.929846499781335
ep-115863,CCCCC(C)(C)OC,0.913665799449502,7.949532553,-7.573743395,3.9368,"[1, 1, 0, 0, 0]",0,-0.6545952272933959,0.6651054577002552,-0.727172176153049
